,Age,Work_Experience,Spending_Score,Family_Size,Gender,Ever_Married,Ever_Married_Unknown,Graduated,Graduated_Unknown,Artist,Doctor,Engineer,Entertainment,Executive,Healthcare,Homemaker,Lawyer,Marketing,Profession_Unknown,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Var_1_Unknown,Work_Experience_Unknown,Age_Unknown,Family_Size_Unknown,Age_2,Log_Age,Age_Normalized,Log_Age_Normalized,Spending_Score_Age,Log_Spending_Score_Age,Spending_Score_Age_2,Family_Size_2,Log_Family_Size,Work_Experience_2,Log_Work_Experience,Age_Exp,Age_Exp_2,Log_Age_Exp,Cluster_Labels
Age,1.0,-0.185950154898528,0.40100251508895446,-0.26306672498101896,0.03637417057001682,0.546358336347568,-0.01590733318265641,0.20988661391450386,0.016420788038420935,0.09674477054896302,-0.11428451307556571,-0.040005952277747746,-0.02414650916274259,0.12410546371354449,-0.4060867878396337,-0.06390997307722601,0.5449835088112833,-0.08121808645358965,0.0035547915512867175,-0.03484131668126211,-0.08247702555334804,-0.07724271825606509,-0.11354155594289043,-0.044632426949057856,0.19890361736271536,-0.03484750337164936,0.008043186790088822,0.017108709027423803,,0.004044069735776203,0.9811616752486,0.9770365901837166,0.9999999999999976,0.9752140315033686,0.8429492883492253,0.8728832627473615,0.7587789786821378,-0.24005112941794607,-0.25790846580657306,-0.16924539023980942,-0.17207214429275206,-0.36175437178866493,-0.3128656457998109,-0.36409361846940186,0.5538800058150607
Work_Experience,-0.185950154898528,1.0,-0.06879188531251779,-0.05783623319876974,-0.057710259011597244,-0.10265295109404828,0.0057178820221847814,0.01854707954705811,0.026158771211482454,0.0047461574212741345,-0.010993169431751243,-0.006727603900463736,0.01168319424569017,-0.03231705228203852,0.012902033484151356,0.19138975254744553,-0.10279261055423121,-0.01326273317248353,-0.008050628043312151,-0.02600825309656928,0.01249205664745862,0.00130883643529492,-0.04540490215144654,-0.000952928749714167,0.035382931138863004,-0.0025092379165205883,-0.006574396517267241,-0.009618909118360126,,0.010603032718505706,-0.19077891847017034,-0.16672091942596456,-0.18595015489852826,-0.1656085796403501,-0.1606538673773519,-0.14926107614101328,-0.15098131897001216,-0.03824245306502301,-0.07002472712092256,0.9465460463931956,0.941549583842397,0.9277464391859814,0.7754687877086306,0.9375210139139594,-0.11505544420850794
Spending_Score,0.40100251508895446,-0.06879188531251779,1.0,0.1006929046893218,0.06207358205734995,0.5820434933401019,0.0412108550617125,0.08175350753259973,-0.003067858519625944,0.033844164613119274,-0.0900245231767191,-0.025767055218043428,-0.04997966030056895,0.33239905667673403,-0.2480444165982586,-0.019797874559660807,0.19886811071117555,-0.07003550168407374,-0.006538249870365393,-0.012703735494909576,-0.03621978665823162,-0.051191592636818474,-0.04687403144739706,-0.018953062222210423,0.09658098595280609,-0.01145900240270746,-0.008841808178845915,0.03976563049033635,,-0.07874457431087697,0.3748849292305159,0.40994479421587143,0.401002515088954,0.4097660373634007,0.7992553195959916,0.770829739208254,0.7474661761500719,0.03660009096957334,0.15828532728383646,-0.07285112617090908,-0.05271447597087189,-0.14742600488934093,-0.13640848013215512,-0.14696844955413854,0.5014031752724414
Family_Size,-0.26306672498101896,-0.05783623319876974,0.1006929046893218,1.0,0.04926087080989351,-0.06339880724293956,-0.001655805908329964,-0.2260030390524742,0.009279754883832512,-0.14304941362459012,-0.0032130280028165236,0.034343110646578814,-0.020366957720893943,0.11645959653259767,0.2205445965139573,-0.0626903295025699,-0.1649802364618477,0.05382294367515546,-0.00045248915837206035,0.012717848880116544,0.07979281290075943,0.007810552105087006,0.16282100221664025,0.0385261593839346,-0.1867056468423672,0.039893684086972456,0.002428749713152112,0.00445650746040028,,-0.0002521661882390647,-0.24519225126858066,-0.27849725535321,-0.2630667249810196,-0.2791027418921345,-0.09823565351142774,-0.1420564242697165,-0.07842382623723568,0.9530186648822904,0.9719685078784749,-0.0619935324672537,-0.04907877583369226,0.010279485093221956,0.0182051430325151,0.00905139154657205,0.008969335271304996
Gender,0.03637417057001682,-0.057710259011597244,0.06207358205734995,0.04926087080989351,1.0,0.1255248267927369,-0.0244691986472519,-0.03871215875763225,0.013048507921434372,-0.04683711230056957,0.0023676077745366985,-0.20148450573726118,0.12902735620517988,0.23265152687574586,0.02424148373622118,-0.12239532483130823,-0.030328326026934062,-0.030543298656616293,0.016353461783852496,-0.013371785621091129,-0.023400761360822826,-0.003813234600831493,-0.011181488750177814,-0.030084167189898762,0.03848810304203148,-0.012315573024647095,-0.01236822672012495,-0.0022836025480064736,,-0.030105661403819844,0.036921381603929854,0.03029385830138786,0.036374170570016746,0.029879768751075186,0.04334168146491524,0.051917511422705655,0.0231511989877335,0.02717588018809473,0.06543939146562225,-0.052772361142889336,-0.054095734442217054,-0.051078279995833545,-0.03416374552398604,-0.05275251331929047,0.09128741680688351
Ever_Married,0.546358336347568,-0.10265295109404828,0.5820434933401019,-0.06339880724293956,0.1255248267927369,1.0,-0.16602554887454848,0.17217354254732872,0.0015420444916186208,0.14217516164439514,-0.08084785204762758,0.01080190533585132,0.03166175113962171,0.19539976787766775,-0.38140463749032294,-0.021571072610104842,0.19802909765915705,-0.10013789591800991,-0.00822156586534049,-0.0059110540159790165,-0.08596833530059864,-0.03659388349899253,-0.03641530586458936,-0.025752172735117977,0.10042865469702632,-0.009254204138365908,0.0005985558166254164,0.007337878789371461,,-0.06019637162582026,0.4907552829356587,0.5810315662644664,0.5463583363475683,0.5816141894398577,0.6034477987873267,0.6986551907257534,0.4710441815491107,-0.09696593252434393,-0.019224917220883302,-0.10269715278200721,-0.0889404164341761,-0.22406883715047873,-0.20896567862837795,-0.2231330099311096,0.5878795000786065
Ever_Married_Unknown,-0.01590733318265641,0.0057178820221847814,0.0412108550617125,-0.001655805908329964,-0.0244691986472519,-0.16602554887454848,1.0,-0.04431174026110876,0.01604460674941443,-0.031520906062196936,-0.0016562531752927546,0.006830337137707566,-0.018638346168936334,0.007427629329986447,0.03625196384260552,0.0029352156086821846,-0.006628604434177269,0.013953000460079303,0.023457220233533867,0.006948248174853371,0.019743366703382233,0.04108882545342672,0.019245599033675228,-0.005074954248653094,-0.04931285518163678,0.0015577956499969409,-0.004915205302736414,0.009750546868690134,,0.019023452456430587,-0.012163958866252598,-0.02105887923159904,-0.015907333182656403,-0.02131033151927388,0.008742116096458686,0.004756299582797446,0.009165254891880643,-0.0048502199893087645,-1.0530361723512928e-05,0.0020223813693499557,0.008365016964471419,0.010540651810157863,0.011179065624254325,0.010442578205305898,-0.0014170299286224517
Graduated,0.20988661391450386,0.01854707954705811,0.08175350753259973,-0.2260030390524742,-0.03871215875763225,0.17217354254732872,-0.04431174026110876,1.0,-0.12880435438511817,0.34774186001818236,-0.03344580380242276,-0.10363747732498373,-0.003757549364714155,-0.06444431663783974,-0.19744580000511253,-0.01739415385458577,-0.021080567226562714,-0.09045352550310083,-0.05395481334223077,-0.01651160104952703,0.011802446498956162,-0.03663895037155888,-0.20677397740339276,-0.01621713661767426,0.18157561481828335,-0.0005908873962907535,-0.028616925014271107,-0.0585866753604433,,-0.03424192748512607,0.14161530470468478,0.28166041325106017,0.20988661391450364,0.2843162918785962,0.14683389772458838,0.2400056382534667,0.07042124383530259,-0.2095080374881624,-0.22148615420316525,0.015580015881337944,0.017750686360799937,-0.07013126402726744,-0.09182073580498233,-0.06614897239413996,0.15210434400703834
Graduated_Unknown,0.016420788038420935,0.026158771211482454,-0.003067858519625944,0.009279754883832512,0.013048507921434372,0.0015420444916186208,0.01604460674941443,-0.12880435438511817,1.0,-0.025696275041111955,-0.0031245699097176387,-0.026928988379435814,0.016826541562086832,-0.002077141954753285,-0.007431529578230657,-0.010966514275589286,0.03276236276284188,0.015464603816692912,0.06584782986075463,-0.012944636341534154,0.00581028789600422,0.03053259088636436,0.03062897139111703,0.015966261400796808,-0.03612863980683278,-0.017170774550949702,-0.010755032517078787,0.02064696915813829,,0.03188709631325579,0.0199509401988975,0.011348266263307864,0.016420788038420883,0.01112998495497507,0.006773946424163937,0.0064813121594891375,0.004657282924573452,0.015442182482390538,0.0027557189798335102,0.01295548963814627,0.03390922571817855,0.02804925701533966,0.019446745341475433,0.028900815611779585,0.01587713747597845
Artist,0.09674477054896302,0.0047461574212741345,0.033844164613119274,-0.14304941362459012,-0.04683711230056957,0.14217516164439514,-0.031520906062196936,0.34774186001818236,-0.025696275041111955,1.0,-0.2109007813193369,-0.2076269877500865,-0.25070772981001127,-0.18818581231254564,-0.2791357779001783,-0.12273877961557708,-0.19436682373854003,-0.13460740368396784,-0.08434260250580664,-0.010257884088544085,-0.0017564478602644779,-0.05119978435201307,-0.11009989976580108,0.008816820198232437,0.11172354817075413,0.006811262017123632,-0.0020476732845937126,-0.04792946841770266,,-0.05420476475854394,0.035476300908156004,0.15788867311033225,0.09674477054896345,0.15990496421644218,0.051729388396400254,0.13582522286234894,-0.01912019785412278,-0.12882681808336163,-0.14378637227420973,0.0015550494748792134,0.006570991943362075,-0.05040526215208645,-0.06408763840791845,-0.04767974203569369,0.13837697784131991
