,Age,Work_Experience,Spending_Score,Family_Size,Gender,Ever_Married,Ever_Married_Unknown,Graduated,Graduated_Unknown,Artist,Doctor,Engineer,Entertainment,Executive,Healthcare,Homemaker,Lawyer,Marketing,Profession_Unknown,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Var_1_Unknown,Work_Experience_Unknown,Age_Unknown,Family_Size_Unknown,Age_Exp,Age_2,Spending_Score_Age,Family_Size_2,Work_Exp_Fam_Ratio,Log_Age,Age_Exp_2,Segmentation_B,Segmentation_C,Segmentation_D
Age,1.0,,,,,0.5406508713113267,,,,,,,,,,,0.5437456363660481,,,,,,,,,,,,,,,0.9556368663887957,0.815447953696644,,,0.9759060735935252,,,,
Work_Experience,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spending_Score,,,1.0,,,0.5844229625991261,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7874350699197109,,,,,,,
Family_Size,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9146048169437488,,,,,,
Gender,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever_Married,0.5406508713113267,,0.5844229625991261,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5522455774357091,,,0.5730472143861733,,,,
Ever_Married_Unknown,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduated,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduated_Unknown,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artist,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineer,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entertainment,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Homemaker,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Lawyer,0.5437456363660481,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.6390155260428062,,,,,,,,
Marketing,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Profession_Unknown,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Cat_1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Cat_2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Cat_3,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Cat_4,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.5268686673244016,,,,,,,,,,,,,,,
Cat_5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Cat_6,,,,,,,,,,,,,,,,,,,,,,,-0.5268686673244016,,1.0,,,,,,,,,,,,,,,
Cat_7,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Var_1_Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Work_Experience_Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Age_Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family_Size_Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Age_Exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.8661667767476671,,,
Age_2,0.9556368663887957,,,,,,,,,,,,,,,,0.6390155260428062,,,,,,,,,,,,,,,1.0,0.8038565151878649,,,0.8709185460241741,,,,
Spending_Score_Age,0.815447953696644,,0.7874350699197109,,,0.5522455774357091,,,,,,,,,,,,,,,,,,,,,,,,,,0.8038565151878649,1.0,,,0.7768102410150186,,,,
Family_Size_2,,,,0.9146048169437488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Work_Exp_Fam_Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Log_Age,0.9759060735935252,,,,,0.5730472143861733,,,,,,,,,,,,,,,,,,,,,,,,,,0.8709185460241741,0.7768102410150186,,,1.0,,,,
Age_Exp_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8661667767476671,,,,,,1.0,,,
Segmentation_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Segmentation_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Segmentation_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
